Class;Component;Coverage;Estimate Complexity;Bugs Number
AbstractCheckRightsRequest;job-api;[90%-100%];1,0;11
AbstractCopyOrMoveJob;refactoring-api;[80%-90%];4,03;3
AbstractEntityJobWithChecks;refactoring-api;[80%-90%];2,38;3
AbstractWikiResource;oldcore;[80%-90%];1,0;9
AttachmentWikiResource;oldcore;[60%-70%];1,0;6
ClassloaderResource;oldcore;[30%-40%];1,0;6
CopyAsJob;refactoring-api;[90%-100%];1,0;3
CopyJob;refactoring-api;[90%-100%];1,0;3
DefaultURLConfiguration;url-api;[90%-100%];1,0;3
EditRightsPane;test-ui;[30%-40%];1,55;9
EnvironmentSkin;oldcore;[80%-90%];2,38;12
ExportURLFactory;oldcore;[70%-80%];2,65;9
FileSystemURLFactory;oldcore;[0%-10%];2,38;6
InternalSkinManager;oldcore;[70%-80%];3,2;3
InternalTemplateManager;oldcore;[60%-70%];2,38;6
ObjectPropertyWikiResource;oldcore;[30%-40%];1,0;12
RenameJob;refactoring-api;[90%-100%];1,55;3
SkinEnvironmentResource;oldcore;[90%-100%];1,55;21
SkinExtensionPluginApi;skin-skinx;[70%-80%];1,0;6
SkinFileExtensionPluginApi;skin-skinx;[90%-100%];1,0;6
StringResource;oldcore;[30%-40%];1,0;6
TemplateEnvironmentResource;oldcore;[30%-40%];1,0;6
XWiki;oldcore;[30%-40%];2,38;75
XWiki;oldcore;[50%-60%];1,55;75
XWikiContextContextStore;oldcore;[70%-80%];3,2;6
XWikiDefaultURLFactory;oldcore;[60%-70%];1,0;12
XWikiDockerExtension;test-docker;[80%-90%];1,55;3
XWikiServletURLFactory;oldcore;[70%-80%];2,65;33
XWikiWebDriver;test-ui;[60%-70%];1,55;6
